"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"135","159.53041680040167","146.90531102482097","0.0572509765625","0.066162109375","0.04833984375","1560","0.00011152652752679765","24","0.00011152652752679765","0","0.00011152652752679765","0.00011152652752679765","134:68;139:68","134:0.0023439860350618624;139:0.0031622555533329932","134:0.00213721783976642;139:0.003552396952063691","0.0572509765625","Yes"
"136","156.6107543717954","139.1642056831092","0.0052490234375","0.007080078125","0.00341796875","1560","0.00021251619387845503","24","0.00021251619387845503","0","0.00021251619387845503","0.00021251619387845503","123:68;143:68","123:0.0025294234317563558;143:0.0020531636775300566","123:0.002341676885581234;143:0.004780946805492264","0.0052490234375","Yes"
"137","128.53664507449056","145.3913976542844","0.0050048828125","0.0078125","0.002197265625","1560","0.0002410780767547852","24","0.0002410780767547852","0","0.0002410780767547852","0.0002410780767547852","147:68;127:68","147:0.00274577455194;127:0.001796888309612693","147:0.0023960233401733866;127:0.0012600092735569335","0.0050048828125","Yes"
"138","94.1435125236313","58.8748380076829","0.0126953125","0.0185546875","0.0068359375","1560","0.00037785155934161703","24","0.00037785155934161703","0","0.00037785155934161703","0.00037785155934161703","151:68;131:68","151:0.002112638188538629;131:0.002185663934113846","151:0.0017321872488905987;131:0.0026784577124585596","0.0126953125","Yes"
"139","122.20013708123332","41.33216789390138","0.01318359375","0.02197265625","0.00439453125","1560","0.0003995829979775019","24","0.0003995829979775019","0","0.0003995829979775019","0.0003995829979775019","155:68;135:68","155:0.0023971931063766216;135:0.0031622555533329932","155:0.0022269632980626286;135:0.003552396952063691","0.01318359375","Yes"
"140","106.35730012423541","168.1738100878964","0.017333984375","0.019775390625","0.014892578125","1560","0.000189245396637159","24","0.000189245396637159","0","0.000189245396637159","0.000189245396637159","141:68","141:0.002064208294504294","141:0.0027944256458709016","0.017333984375","Yes"
"141","185.46374993101517","115.07475539230981","0.010498046875","0.014404296875","0.006591796875","1560","0.00017460498429381773","24","0.00017460498429381773","0","0.00017460498429381773","0.00017460498429381773","140:68;142:68","140:0.002064208294504294;142:0.0017265635202657337","140:0.0027944256458709016;142:0.0015518322944988727","0.010498046875","Yes"
"142","163.21016709757387","165.2897115387142","0.009765625","0.013671875","0.005859375","1560","0.00028121455710068374","24","0.00028121455710068374","0","0.00028121455710068374","0.00028121455710068374","143:68;141:68","143:0.0028142246255750403;141:0.0017265635202657337","143:0.0023109506053781426;141:0.0015518322944988727","0.009765625","Yes"
"143","170.41028206217462","157.85151676032703","0.0107421875","0.011474609375","0.010009765625","1560","0.00019263149758249896","24","0.00019263149758249896","0","0.00019263149758249896","0.00019263149758249896","142:68;144:68;136:68","142:0.0028142246255750403;144:0.002035708290674787;136:0.0020531636775300566","142:0.0023109506053781426;144:0.002338318754362634;136:0.004780946805492264","0.0107421875","Yes"
"144","166.33391410047952","195.81231783375284","0.0087890625","0.0107421875","0.0068359375","1560","0.00033073382443571695","24","0.00033073382443571695","0","0.00033073382443571695","0.00033073382443571695","145:68;143:68","145:0.0016264175942051762;143:0.002035708290674787","145:0.0013400089400127657;143:0.002338318754362634","0.0087890625","Yes"
"145","166.96636376995122","141.37530708852546","0.035400390625","0.03564453125","0.03515625","1560","0.00018428791019246097","24","0.00018428791019246097","0","0.00018428791019246097","0.00018428791019246097","144:68;146:68","144:0.0016264175942051762;146:0.001495661193785025","144:0.0013400089400127657;146:0.0021595419492783097","0.035400390625","Yes"
"146","143.859644626331","8.226649343617426","0.01025390625","0.013671875","0.005615234375","1560","0.00019907683276123564","24","0.00019907683276123564","0","0.00019907683276123564","0.00019907683276123564","145:68;147:88","145:0.001495661193785025;147:0.0025771368227990032","145:0.0021595419492783097;147:0.0023367335829185265","0.01025390625","Yes"
"147","143.32310834683477","137.0828923590889","0.006103515625","0.0087890625","0.00341796875","1560","0.00029025533843723663","24","0.00029025533843723663","0","0.00029025533843723663","0.00029025533843723663","148:68;137:68;146:88","148:0.0023503195181625858;137:0.00274577455194;146:0.0025771368227990032","148:0.0024866549667320326;137:0.0023960233401733866;146:0.0023367335829185265","0.006103515625","Yes"
"148","103.54280031014072","123.94302567337579","0.0076904296875","0.013671875","0.001708984375","1560","0.00038071214405801086","24","0.00038071214405801086","0","0.00038071214405801086","0.00038071214405801086","147:68;149:68","147:0.0023503195181625858;149:0.012069577833007689","147:0.0024866549667320326;149:0.009361199576250867","0.0076904296875","Yes"
"149","52.646696470603025","5.9694406486567875","0.0877685546875","0.083251953125","0.09228515625","1560","0.0011255735193368708","24","0.0011255735193368708","0","0.0011255735193368708","0.0011255735193368708","150:68;148:68","150:0.009754881502986257;148:0.012069577833007689","150:0.010322724831772795;148:0.009361199576250867","0.0877685546875","Yes"
"150","142.95125233684197","6.530249794356135","0.0078125","0.0126953125","0.0029296875","1560","0.0009237057597779291","24","0.0009237057597779291","0","0.0009237057597779291","0.0009237057597779291","149:68;151:68","149:0.009754881502986257;151:0.007786655685466187","149:0.010322724831772795;151:0.008288852992967083","0.0078125","Yes"
"151","106.04709917160349","131.70596821914893","0.0159912109375","0.017333984375","0.0146484375","1560","0.00014380630228848226","24","0.00014380630228848226","0","0.00014380630228848226","0.00014380630228848226","138:68;152:68;150:68","138:0.002112638188538629;152:0.0025840752158575175;150:0.007786655685466187","138:0.0017321872488905987;152:0.0019883500078686223;150:0.008288852992967083","0.0159912109375","Yes"
"152","120.4691361568221","139.19429273535468","0.0147705078125","0.016357421875","0.01318359375","1560","0.00021409216764468067","24","0.00021409216764468067","0","0.00021409216764468067","0.00021409216764468067","151:68;153:68","151:0.0025840752158575175;153:0.0038981327703165314","151:0.0019883500078686223;153:0.002572369598333485","0.0147705078125","Yes"
"153","171.47031010642053","56.193069618651705","0.0164794921875","0.0205078125","0.012451171875","1560","0.0007043627743579279","24","0.0007043627743579279","0","0.0007043627743579279","0.0007043627743579279","152:68;154:68","152:0.0038981327703165314;154:0.003813619822978842","152:0.002572369598333485;154:0.003113129048329999","0.0164794921875","Yes"
